Species	Phylum	Class	Order	Family	Genus
s__midas_s_39206	p__Actinobacteriota	c__Coriobacteriia	o__OPB41	f__midas_f_3016	g__midas_g_39206
s__Clostridium_leptum	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__midas_g_38862
s__midas_s_54986	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium
s__midas_s_29062	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_12457	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Eubacterium_coprostanoligenes_group	g__midas_g_5340
s__midas_s_52240	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium
s__midas_s_27624	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas
s__midas_s_55724	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__SD04E11
s__midas_s_46740	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas
s__midas_s_73815	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_61329	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter
s__midas_s_27892	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group
s__midas_s_5340	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Eubacterium_coprostanoligenes_group	g__midas_g_5340
s__midas_s_15426	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia
s__midas_s_80648	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia
s__midas_s_64438	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Tyzzerella
s__midas_s_21769	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__GKS98_freshwater_group
s__midas_s_2753	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Ottowia
s__midas_s_53637	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group
s__midas_s_44685	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005
s__midas_s_70758	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Colidextribacter
s__midas_s_51798	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__midas_g_51798
s__midas_s_110867	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio
s__midas_s_82468	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
s__midas_s_106332	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus
s__midas_s_5550	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_47929	p__Firmicutes	c__Bacilli	o__RF39	f__midas_f_40318	g__midas_g_47929
s__midas_s_61739	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Frisingicoccus
s__midas_s_43310	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
s__midas_s_57354	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_ventriosum_group
